"","...1","year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","CPIAUCSL","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct","CPIAUCSL.ave","days_until_election","support","emonth","party","R_totalvote_pct","D_totalvote_pct","winner_party","R_support","D_support","R_difference","D_difference"
"39",12,1964,8,12.214,1.139399748,5.1,31.12,42.73,57.27,57.27,31.0075,23.5,60,10,"D",42.14,56.47,"D",NA,60,NA,3.53
"40",12,1964,8,12.214,1.139399748,5.1,31.12,42.73,57.27,57.27,31.0075,23.5,31,10,"R",42.14,56.47,"D",31,NA,11.14,NA
"41",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,15.5,49,10,"D",48.31,49.99,"D",NA,49,NA,0.990000000000002
"42",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,15.5,39,10,"R",48.31,49.99,"D",39,NA,9.31,NA
"43",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,35.5,48,10,"D",48.31,49.99,"D",NA,48,NA,1.99
"44",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,35.5,36,10,"R",48.31,49.99,"D",36,NA,12.31,NA
"45",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,35.5,55,10,"D",48.31,49.99,"D",NA,55,NA,5.01
"46",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,35.5,34,10,"R",48.31,49.99,"D",34,NA,14.31,NA
"47",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,24,54,10,"D",48.31,49.99,"D",NA,54,NA,4.01
"48",13,1966,5,104.72,0.990941228,4,31.88,49.14,50.86,50.86,32.365,24,46,10,"R",48.31,49.99,"D",46,NA,2.31,NA
"49",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,15.5,49,10,"D",48.31,49.99,"D",NA,49,NA,0.990000000000002
"50",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,15.5,39,10,"R",48.31,49.99,"D",39,NA,9.31,NA
"51",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,35.5,48,10,"D",48.31,49.99,"D",NA,48,NA,1.99
"52",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,35.5,36,10,"R",48.31,49.99,"D",36,NA,12.31,NA
"53",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,35.5,55,10,"D",48.31,49.99,"D",NA,55,NA,5.01
"54",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,35.5,34,10,"R",48.31,49.99,"D",34,NA,14.31,NA
"55",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,24,54,10,"D",48.31,49.99,"D",NA,54,NA,4.01
"56",14,1966,6,15.054,0.263627115,3.8,32.28,49.14,50.86,50.86,32.365,24,46,10,"R",48.31,49.99,"D",46,NA,2.31,NA
"57",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,15.5,49,10,"D",48.31,49.99,"D",NA,49,NA,0.990000000000002
"58",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,15.5,39,10,"R",48.31,49.99,"D",39,NA,9.31,NA
"59",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,35.5,48,10,"D",48.31,49.99,"D",NA,48,NA,1.99
"60",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,35.5,36,10,"R",48.31,49.99,"D",36,NA,12.31,NA
"61",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,35.5,55,10,"D",48.31,49.99,"D",NA,55,NA,5.01
"62",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,35.5,34,10,"R",48.31,49.99,"D",34,NA,14.31,NA
"63",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,24,54,10,"D",48.31,49.99,"D",NA,54,NA,4.01
"64",15,1966,7,37.448,1.22193371,3.8,32.45,49.14,50.86,50.86,32.365,24,46,10,"R",48.31,49.99,"D",46,NA,2.31,NA
"65",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,15.5,49,10,"D",48.31,49.99,"D",NA,49,NA,0.990000000000002
"66",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,15.5,39,10,"R",48.31,49.99,"D",39,NA,9.31,NA
"67",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,35.5,48,10,"D",48.31,49.99,"D",NA,48,NA,1.99
"68",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,35.5,36,10,"R",48.31,49.99,"D",36,NA,12.31,NA
"69",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,35.5,55,10,"D",48.31,49.99,"D",NA,55,NA,5.01
"70",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,35.5,34,10,"R",48.31,49.99,"D",34,NA,14.31,NA
"71",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,24,54,10,"D",48.31,49.99,"D",NA,54,NA,4.01
"72",16,1966,8,36.582,1.17161396,3.7,32.85,49.14,50.86,50.86,32.365,24,46,10,"R",48.31,49.99,"D",46,NA,2.31,NA
"73",17,1968,5,94.14,1.664960066,3.7,34.1,49.08,50.92,50.92,34.675,16.5,50,10,"D",48.43,50.25,"D",NA,50,NA,0.25
"74",17,1968,5,94.14,1.664960066,3.7,34.1,49.08,50.92,50.92,34.675,16.5,42,10,"R",48.43,50.25,"D",42,NA,6.43,NA
"75",17,1968,5,94.14,1.664960066,3.7,34.1,49.08,50.92,50.92,34.675,37.5,44,10,"R",48.43,50.25,"D",44,NA,4.43,NA
"76",18,1968,6,78.695,1.646757851,3.5,34.4,49.08,50.92,50.92,34.675,16.5,50,10,"D",48.43,50.25,"D",NA,50,NA,0.25
"77",18,1968,6,78.695,1.646757851,3.5,34.4,49.08,50.92,50.92,34.675,16.5,42,10,"R",48.43,50.25,"D",42,NA,6.43,NA
"78",18,1968,6,78.695,1.646757851,3.5,34.4,49.08,50.92,50.92,34.675,37.5,44,10,"R",48.43,50.25,"D",44,NA,4.43,NA
"79",19,1968,7,37.111,0.320052318,3.7,34.9,49.08,50.92,50.92,34.675,16.5,50,10,"D",48.43,50.25,"D",NA,50,NA,0.25
"80",19,1968,7,37.111,0.320052318,3.7,34.9,49.08,50.92,50.92,34.675,16.5,42,10,"R",48.43,50.25,"D",42,NA,6.43,NA
"81",19,1968,7,37.111,0.320052318,3.7,34.9,49.08,50.92,50.92,34.675,37.5,44,10,"R",48.43,50.25,"D",44,NA,4.43,NA
"82",20,1968,8,18.98,0.77239145,3.4,35.3,49.08,50.92,50.92,34.675,16.5,50,10,"D",48.43,50.25,"D",NA,50,NA,0.25
"83",20,1968,8,18.98,0.77239145,3.4,35.3,49.08,50.92,50.92,34.675,16.5,42,10,"R",48.43,50.25,"D",42,NA,6.43,NA
"84",20,1968,8,18.98,0.77239145,3.4,35.3,49.08,50.92,50.92,34.675,37.5,44,10,"R",48.43,50.25,"D",44,NA,4.43,NA
"85",21,1970,5,-7.341,1.05093652,3.9,37.9,45.78,54.22,54.22,38.675,22.5,54,10,"D",45.09,53.41,"D",NA,54,NA,0.590000000000003
"86",21,1970,5,-7.341,1.05093652,3.9,37.9,45.78,54.22,54.22,38.675,22.5,39,10,"R",45.09,53.41,"D",39,NA,6.09,NA
"87",21,1970,5,-7.341,1.05093652,3.9,37.9,45.78,54.22,54.22,38.675,10.5,52,10,"D",45.09,53.41,"D",NA,52,NA,1.41
"88",21,1970,5,-7.341,1.05093652,3.9,37.9,45.78,54.22,54.22,38.675,10.5,36,10,"R",45.09,53.41,"D",36,NA,9.09,NA
"89",21,1970,5,-7.341,1.05093652,3.9,37.9,45.78,54.22,54.22,38.675,5.5,44,10,"R",45.09,53.41,"D",44,NA,1.09,NA
"90",22,1970,6,7.006,1.234774991,4.6,38.5,45.78,54.22,54.22,38.675,22.5,54,10,"D",45.09,53.41,"D",NA,54,NA,0.590000000000003
"91",22,1970,6,7.006,1.234774991,4.6,38.5,45.78,54.22,54.22,38.675,22.5,39,10,"R",45.09,53.41,"D",39,NA,6.09,NA
"92",22,1970,6,7.006,1.234774991,4.6,38.5,45.78,54.22,54.22,38.675,10.5,52,10,"D",45.09,53.41,"D",NA,52,NA,1.41
"93",22,1970,6,7.006,1.234774991,4.6,38.5,45.78,54.22,54.22,38.675,10.5,36,10,"R",45.09,53.41,"D",36,NA,9.09,NA
"94",22,1970,6,7.006,1.234774991,4.6,38.5,45.78,54.22,54.22,38.675,5.5,44,10,"R",45.09,53.41,"D",44,NA,1.09,NA
"95",23,1970,7,45.559,1.598055821,5,38.9,45.78,54.22,54.22,38.675,22.5,54,10,"D",45.09,53.41,"D",NA,54,NA,0.590000000000003
"96",23,1970,7,45.559,1.598055821,5,38.9,45.78,54.22,54.22,38.675,22.5,39,10,"R",45.09,53.41,"D",39,NA,6.09,NA
"97",23,1970,7,45.559,1.598055821,5,38.9,45.78,54.22,54.22,38.675,10.5,52,10,"D",45.09,53.41,"D",NA,52,NA,1.41
"98",23,1970,7,45.559,1.598055821,5,38.9,45.78,54.22,54.22,38.675,10.5,36,10,"R",45.09,53.41,"D",36,NA,9.09,NA
"99",23,1970,7,45.559,1.598055821,5,38.9,45.78,54.22,54.22,38.675,5.5,44,10,"R",45.09,53.41,"D",44,NA,1.09,NA
"100",24,1970,8,-53.466,-0.240105828,5.5,39.4,45.78,54.22,54.22,38.675,22.5,54,10,"D",45.09,53.41,"D",NA,54,NA,0.590000000000003
"101",24,1970,8,-53.466,-0.240105828,5.5,39.4,45.78,54.22,54.22,38.675,22.5,39,10,"R",45.09,53.41,"D",39,NA,6.09,NA
"102",24,1970,8,-53.466,-0.240105828,5.5,39.4,45.78,54.22,54.22,38.675,10.5,52,10,"D",45.09,53.41,"D",NA,52,NA,1.41
"103",24,1970,8,-53.466,-0.240105828,5.5,39.4,45.78,54.22,54.22,38.675,10.5,36,10,"R",45.09,53.41,"D",36,NA,9.09,NA
"104",24,1970,8,-53.466,-0.240105828,5.5,39.4,45.78,54.22,54.22,38.675,5.5,44,10,"R",45.09,53.41,"D",44,NA,1.09,NA
"105",25,1972,5,94.729,0.458288022,5.8,41.2,47.18,52.82,52.82,41.675,34,48,10,"D",46.54,52.09,"D",NA,48,NA,4.09
"106",25,1972,5,94.729,0.458288022,5.8,41.2,47.18,52.82,52.82,41.675,34,39,10,"R",46.54,52.09,"D",39,NA,7.54,NA
"107",25,1972,5,94.729,0.458288022,5.8,41.2,47.18,52.82,52.82,41.675,23,45,10,"D",46.54,52.09,"D",NA,45,NA,7.09
"108",25,1972,5,94.729,0.458288022,5.8,41.2,47.18,52.82,52.82,41.675,23,40,10,"R",46.54,52.09,"D",40,NA,6.54,NA
"109",26,1972,6,119.071,1.037827435,5.7,41.5,47.18,52.82,52.82,41.675,34,48,10,"D",46.54,52.09,"D",NA,48,NA,4.09
"110",26,1972,6,119.071,1.037827435,5.7,41.5,47.18,52.82,52.82,41.675,34,39,10,"R",46.54,52.09,"D",39,NA,7.54,NA
"111",26,1972,6,119.071,1.037827435,5.7,41.5,47.18,52.82,52.82,41.675,23,45,10,"D",46.54,52.09,"D",NA,45,NA,7.09
"112",26,1972,6,119.071,1.037827435,5.7,41.5,47.18,52.82,52.82,41.675,23,40,10,"R",46.54,52.09,"D",40,NA,6.54,NA
"113",27,1972,7,50.667,1.944645211,5.6,41.8,47.18,52.82,52.82,41.675,34,48,10,"D",46.54,52.09,"D",NA,48,NA,4.09
"114",27,1972,7,50.667,1.944645211,5.6,41.8,47.18,52.82,52.82,41.675,34,39,10,"R",46.54,52.09,"D",39,NA,7.54,NA
"115",27,1972,7,50.667,1.944645211,5.6,41.8,47.18,52.82,52.82,41.675,23,45,10,"D",46.54,52.09,"D",NA,45,NA,7.09
"116",27,1972,7,50.667,1.944645211,5.6,41.8,47.18,52.82,52.82,41.675,23,40,10,"R",46.54,52.09,"D",40,NA,6.54,NA
"117",28,1972,8,90.684,4.007773663,5.6,42.2,47.18,52.82,52.82,41.675,34,48,10,"D",46.54,52.09,"D",NA,48,NA,4.09
"118",28,1972,8,90.684,4.007773663,5.6,42.2,47.18,52.82,52.82,41.675,34,39,10,"R",46.54,52.09,"D",39,NA,7.54,NA
"119",28,1972,8,90.684,4.007773663,5.6,42.2,47.18,52.82,52.82,41.675,23,45,10,"D",46.54,52.09,"D",NA,45,NA,7.09
"120",28,1972,8,90.684,4.007773663,5.6,42.2,47.18,52.82,52.82,41.675,23,40,10,"R",46.54,52.09,"D",40,NA,6.54,NA
"121",29,1974,5,-49.247,-1.65542326,5.1,46.8,41.43,58.57,58.57,48.8,16.5,58,10,"D",40.68,57.51,"D",NA,58,NA,0.490000000000002
"122",29,1974,5,-49.247,-1.65542326,5.1,46.8,41.43,58.57,58.57,48.8,23.5,64,10,"D",40.68,57.51,"D",NA,64,NA,6.49
"123",29,1974,5,-49.247,-1.65542326,5.1,46.8,41.43,58.57,58.57,48.8,23.5,32,10,"R",40.68,57.51,"D",32,NA,8.68,NA
"124",30,1974,6,13.497,-0.932526198,5.1,48.1,41.43,58.57,58.57,48.8,16.5,58,10,"D",40.68,57.51,"D",NA,58,NA,0.490000000000002
"125",30,1974,6,13.497,-0.932526198,5.1,48.1,41.43,58.57,58.57,48.8,23.5,64,10,"D",40.68,57.51,"D",NA,64,NA,6.49
"126",30,1974,6,13.497,-0.932526198,5.1,48.1,41.43,58.57,58.57,48.8,23.5,32,10,"R",40.68,57.51,"D",32,NA,8.68,NA
"127",31,1974,7,-53.799,0.089344118,5.5,49.3,41.43,58.57,58.57,48.8,16.5,58,10,"D",40.68,57.51,"D",NA,58,NA,0.490000000000002
"128",31,1974,7,-53.799,0.089344118,5.5,49.3,41.43,58.57,58.57,48.8,23.5,64,10,"D",40.68,57.51,"D",NA,64,NA,6.49
"129",31,1974,7,-53.799,0.089344118,5.5,49.3,41.43,58.57,58.57,48.8,23.5,32,10,"R",40.68,57.51,"D",32,NA,8.68,NA
