"year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct"
1971,1,134.053,1.994496063,5.9,NA,NA,NA
1971,2,27.433,1.455044123,5.9,NA,NA,NA
1971,3,41.949,0.523992171,6,NA,NA,NA
1971,4,12.117,1.166506592,5.8,NA,NA,NA
1972,5,94.729,0.458288022,5.8,47.18,52.82,52.82
1972,6,119.071,1.037827435,5.7,47.18,52.82,52.82
1972,7,50.667,1.944645211,5.6,47.18,52.82,52.82
1972,8,90.684,4.007773663,5.6,47.18,52.82,52.82
1973,1,136.273,0.758638941,4.9,NA,NA,NA
1973,2,61.429,0.843660212,5,NA,NA,NA
1973,3,-29.998,0.4522387,4.8,NA,NA,NA
1973,4,53.86,1.093686162,4.6,NA,NA,NA
1974,5,-49.247,-1.65542326,5.1,41.43,58.57,58.57
1974,6,13.497,-0.932526198,5.1,41.43,58.57,58.57
1974,7,-53.799,0.089344118,5.5,41.43,58.57,58.57
1974,8,-21.885,-0.135490556,6,41.43,58.57,58.57
1975,1,-68.37,-0.14764565,8.1,NA,NA,NA
1975,2,39.644,4.625344683,8.8,NA,NA,NA
1975,3,95.644,-1.455287161,8.6,NA,NA,NA
1975,4,76.528,0.786064792,8.4,NA,NA,NA
1976,5,129.528,1.203744299,7.9,42.81,57.19,57.19
1976,6,43.211,0.568492734,7.7,42.81,57.19,57.19
1976,7,32.554,0.780659593,7.8,42.81,57.19,57.19
1976,8,43.239,0.635137263,7.7,42.81,57.19,57.19
1977,1,70.99,0.224285416,7.5,NA,NA,NA
1977,2,118.192,0.938255083,7.2,NA,NA,NA
1977,3,111.828,1.389144638,6.9,NA,NA,NA
1977,4,0.138,1.912054223,6.8,NA,NA,NA
1978,5,20.139,0.786256549,6.4,45.69,54.31,54.31
1978,6,244.599,1.058788582,6.1,45.69,54.31,54.31
1978,7,66.107,0.776148651,6.2,45.69,54.31,54.31
1978,8,89.258,0.658360765,5.8,45.69,54.31,54.31
1979,1,12.099,1.208759366,5.9,NA,NA,NA
1979,2,7.209,-0.899832304,5.8,NA,NA,NA
1979,3,50.137,0.453313522,5.7,NA,NA,NA
1979,4,17.003,0.171878959,6,NA,NA,NA
1980,5,21.438,0.345218889,6.3,48.72,51.28,51.28
1980,6,-140.888,-0.876768695,6.9,48.72,51.28,51.28
1980,7,-7.959,1.122321343,7.8,48.72,51.28,51.28
1980,8,124.741,1.376287083,7.5,48.72,51.28,51.28
1981,1,133.507,-0.138777152,7.5,NA,NA,NA
1981,2,-51.483,0.116815371,7.2,NA,NA,NA
